tag_09162_01279273055	அவர்களின் படங்களின் டீஸருக்கு கிடைக்கும் வரவேற்பு அபிரிதமாக உள்ளது
tag_01515_01483902699	பாம்பன் ரயில் பாலத்துக்கு வெடிகுண்டு மிரட்டல்
tag_03777_01709938953	ஜமேக்கா வன்முறைகளில் முப்பது பேர் உயிரிழப்பு
tag_01181_00836855113	கிழக்குப் பல்கலைக்கழத்தில் போருக்குப் பின் அறிவியலும் தொழில்நுட்பமும் பன்னாட்டு மாநாடு
tag_03191_01070187495	நான் நடிகை என்பதற்காக இருவத்தி நான்கு மணி நேரமும் கேமரா முன்னால் இருக்க முடியாது
tag_03191_00287731463	துருக்கி விமானத் தாக்குதலில் முப்பத்தி ஐந்து குர்திய இனத்தவர்கள் உயிரிழப்பு
tag_09674_01078578483	தங்கமகன் என்ன மாதிரியான படம்
tag_05935_00022887539	மைக்கேல் கிளார்க் தலைமையிலான அணி ஏழு ஆஷஸ் டெஸ்ட் போட்டியில் தோல்வியடைந்துள்ளது
tag_03762_01231631302	அது நானாகவே இருக்க வேண்டும்
tag_01469_01440426013	நோக்கியா ஆலை மூடப்பட்டதை தொடர்ந்து பணிக்கு வந்த தொழிலாளர்கள் திருப்பி அனுப்பப்பட்டனர்
tag_05935_01015907946	அதிகபட்சமாக நெல்லை மாவட்டத்தில் பாபநாசத்தில் பதிமூன்று சென்டி மீட்டர் மழை பெய்துள்ளது
tag_01818_00570417203	ஜூன் இருபத்தி மூன்று உலக இறை வணக்க தினம்
tag_07879_00136804398	சட்டவிரோத டைனசோர் முட்டை விற்பனையைத் தடை செய்ய இந்தியா திட்டம்
tag_09162_02017675708	சீனா உலகின் இரண்டாவது பெரும் பொருளாதாரமாக ஜப்பானை முந்தியது
tag_06418_00626852185	நடுத்தரக் குடும்பத்தினர் மற்றும் சாதாரண நிலையில் இருப்பவர்களும் கடனை எளிதாக பெறும் அளவிற்கு சட்ட விதிகள் தளர்த்தப்படும்
tag_01818_00556073137	பலமொழிப் படங்களில் நடிக்கிறீர்கள்
tag_05632_00536359457	ரயிலில் செல்க
tag_09162_00083698627	இந்திய இலங்கை மீனவர் பேச்சுவார்த்தைகள் சென்னையில் துவங்கியது
tag_01469_01549884118	விஜய் மற்றவர்களுக்கு உதவும் பண்பு கொண்டவர்
tag_08288_00540347902	துனீசியாவின் எதிர்க்கட்சித் தலைவர் சுட்டுக் கொலை
tag_07925_01895020565	கொங்கோவில் சுரங்க விபத்து அறுபது தொழிலாளர்கள் உயிரிழப்பு
tag_03777_00864536182	தலைப்பை படித்துவிட்டு ஜெயலலிதாவுக்கு எதிராக விஜய் அறிக்கை எதுவும் வெளியிட்டாரா என்று பயப்பட வேண்டாம்
tag_03191_01475846989	புதன் நன்றாக அமையப் பெற்றவர்கள் சுயமாக முன்னேறுவார்கள்
tag_01818_00712982221	நோய்கள் பொதுவாக சூழல் மரபணு லைஃப்ஸ்டைல் பழக்கவழக்கங்கள் ஆகியவற்றால் உருவாகிறது
tag_03762_00278253262	இயக்குனர் பாலச்சந்தருக்கு இரண்டாயிரத்து பத்தாம் ஆண்டுக்கான தாதாசாகெப் பால்கே விருது
tag_01818_02121502033	அமெரிக்காவின் ஆளில்லா விமானம் ஒன்றை ஈரான் கைப்பற்றியது
tag_08228_02107922170	ஒரு சிலர் தனக்கு முதன் முதலில் கல்வி கற்பித்த ஆசிரியரை வாழ்நாள் முழுவதும் புகழ்ந்து பேசுவார்கள்
tag_01424_00615571218	சார் மன்னன் ஆறாம் இவானின் எலும்புகள் ரஷ்யாவில் கண்டுபிடிப்பு
tag_09162_01367480491	வீடு தேடி டெலிவரி செய்யும் அமேசானின் குட்டி விமானம்
tag_01181_02046335232	பாடகர் கோவனுக்கு எதிரான தமிழக அரசின் மனுவை தள்ளுபடி செய்தது உச்ச நீதிமன்றம்
tag_01469_01545077488	அம்பாந்தோட்டை மகிந்த ராஜபக்‌ஷே துறைமுகத்தில் தடையாகவிருந்த கற்பாறை அகற்றப்பட்டது
tag_03191_01363031524	பொருத்தமில்லாத ஒருவரை திருமணம் செய்து கஷ்டப்படுவதைவிட திருமணம் செய்யாமலே இருந்துவிடலாம்
tag_05632_00688472002	உங்கள் இலக்கு இடப்பக்கமிருக்கும்.
tag_09162_01318439998	மே எட்டு உலக செஞ்சிலுவை தினம்
tag_04140_00806957814	நான் பதில் சொல்ல விரும்பவில்லை
tag_01469_01360386342	யேமனிய கிளர்ச்சியாளர்கள் கைப்பற்றிய இடங்களை மீட்டுள்ளதாக சவுதி அரேபியா அறிவிப்பு
tag_09674_00400192057	இரவில் கோலமிடுவதைத் தவிர்க்க வேண்டும்
tag_03777_01420875843	பிளமிங்கோ பறவைகளுக்கு கால்கள் மற்றும் வாய்‌ப்பகுதி சிவப்பு நிறத்திலும் உடல் பகுதி வெள்ளை நிறத்திலும் இருக்கிறது
tag_09162_00594267093	இந்தியக் காந்தியவாதி அண்ணா ஹசாரே உண்ணாவிரதத்தைக் கைவிட்டார்
tag_05557_02048288446	கணவன் ஒரு கேள்வி கேட்டால் அதற்கு மனைவி சொல்லும் பதிலும் மனைவி ஒரு கேள்வி கேட்டால் அதற்கு கணவன் சொல்லும் பதிலும் முக்கியமானது
tag_01818_01887393801	சக மனிதர்களால் காரியத்தடை ஏற்படுமா
tag_01424_01160121156	கிரகங்கள் என்று சொன்னால் அந்த கிரகங்கள் எந்த நட்சத்திரத்தில் இருக்கிறது என்று பார்க்க வேண்டும்
tag_01181_00826408363	புதன் நன்றாக இருந்தால் அவர்கள் ஆய்வுப் படிப்புகள் மேற்கொள்வார்கள்
tag_03762_02136288423	பாலஸ்தீனத்துக்கு யுனெஸ்கோ முழுமையான அங்கீகாரம்
tag_05632_00046001893	ஒரு மைலில்
tag_01181_01122466522	மகனுக்கு வெளிநாட்டில் வேலை கிடைக்கும்
tag_03777_00364293220	நோக்கியா மைக்ரோசாப்ட் உடன் இணைந்து செயல்பட முடிவு
tag_03191_01928090699	கானா அமெரிக்காவை வென்று கால் இறுதிப்போட்டிக்குத் தகுதி பெற்றது
tag_09162_00524819244	கடன் சுமையுள்ள நாடுகளில் இந்தியாவுக்கு ஐந்தாவது இடம்
tag_08228_02053844530	சென்னையில் மட்டும் எந்திரன் திரைப்படம் முப்பது திரையரங்குகளில் வெளியாகிறது
tag_09674_00091347510	வழக்கமான க்ரைம் த்ரில்லரிலிருந்து பெரிதும் மாறுபட்டது தி சைலன்ஸ்
tag_09162_01622715395	எந்தப் படம் நடித்தாலும் உலக ஓட்டம் ஓடுகிறது
tag_09162_01204397852	எகிப்தின் புதிய பிரதமராக முன்னாள் பிரதமர் கமால் கன்சூரி நியமனம்
tag_07925_01609276410	படமும் மிகப்பெரிய வெற்றியை பெற்றது
tag_01469_00567133315	கிரக தோஷம் உள்ளவர்கள் அனைவரும் சிவனை வழிபட்டால் போதும் என்று கூற முடியாது
tag_08228_00465524580	சென்னை பாக்ஸ் ஆபிஸ் முதலிடத்தில் தங்கமகன்
tag_01469_01018481660	சென்னை மாநகராட்சி இரண்டாயிரத்து பதினைந்தாம் ஆண்டு இந்தியாவின் மிகப்பெரிய பொருளாதார மையத்தில் நான்காவது இடத்தைப் பிடித்தது
tag_01469_00382103377	சோவியத் காலத்து புகழ் பெற்ற சிலை மீண்டும் மாஸ்கோ வந்தது
tag_07925_00328151993	அமெரிக்காவில் களைக்கொல்லி எதிர்ப்பு மீத்திறன் களைகள் பயிர்களைத் தாக்குகின்றன
tag_01469_00030859475	ஐநா மனித உரிமைகள் ஆணையர் நவநீதம் பிள்ளை யாழ்ப்பாணம் பயணம்
tag_08228_00765783252	சிம்ரன் சீனியர் நடிகை என்றால் ரம்யா கிருஷ்ணன் சூப்பர் சீனியர்
tag_01818_01764707071	சிலர் உங்கள் மீது அவதூறு வழக்குகள் தொடர வாய்ப்பிருக்கிறது
tag_05557_01859352772	சென்னை மெட்ரோரயில் மேம்பாலத்தில் தீ விபத்து
tag_03191_00641438749	இந்தியாவில் மணிக்கு பதினைந்து பேர் தற்கொலை செய்துகொள்வதாக அரசு தெரிவிப்பு
tag_01469_00312403720	ஒரு கட்டத்தில் ஜிம்பாப்வே அணி அறுபத்தி எட்டு ரன்களுக்கு ஐந்து விக்கெட்டுகளை இழந்து தடுமாறியது
tag_01181_00150369286	எப்படிப் பார்த்தாலும் ஒரு பெரும் தொகை உடனடியாக நடிகர் சங்கத்துக்கு தேவைப்படுகிறது
tag_03762_00278735540	தமிழகம் எதிர்கொள்ளவிருக்கும் வித்தியாசமான தேர்தல்
tag_03837_00622636449	இரண்டாயிரத்தி பதினொன்று ஐக்கிய நாடுகள் பொதுச் சபைக் கூட்டம் ஆரம்பம்
tag_08228_01710202025	பங்கு சந்தைகளில் திடீர் சரிவு
tag_01469_00289818498	ஏப்ரல் பன்னிரண்டு உலக வான் பயண தினம்
tag_06418_00822416046	செப்டம்பர் எட்டு உலக எழுத்தறிவு தினம்
tag_03837_00428685938	மூலம் நட்சத்திரத்தைப் பொறுத்தவரை ஆனி மூலம் அரசாளும் பின் மூலம் நிர்மூலம் என்று கூறப்பட்டுள்ளது
tag_01469_01206544537	தெலுங்கு இந்தி என எந்தமொழி படங்களில் நடித்தாலும் இந்தியா முழுவதும் உள்ள ரசிகர்களுக்கு நான் ஒரு நடிகராகத்தான் தெரிகிறேன்
tag_01818_02025896687	சூரியனைச் சுற்றி வரும் புதிய புறக்கோள் கண்டுபிடிப்பு
tag_03837_00377968099	உலகில் பணக்காரர்கள் அதிகம் உள்ள நாடு கத்தார்
tag_09674_01459705915	பொதுவாக திருமணம் என்பது எல்லோருடைய வாழ்க்கையிலும் ஊர் உலகத்துக்கு தெரிந்துதான் நடக்கும்
tag_01469_00088223995	நடிகை ரோஜாவிற்கு சட்டசபையில் பங்கேற்க ஓராண்டு தடை
tag_03762_00170013877	புதிதாக வரும் இளம் இசையமைப்பாளர்கள்
tag_07925_00169227681	மே மூன்று உலக சக்தி தினம்
tag_01424_01792291550	ஆஸ்ட்ரேலியாவுக்கு அடுத்த படியாக ரஷ்யாவில் தற்போது வெப்ப அளவு கடுமையாக அதிகரித்துள்ளதாக ஆய்வுகள் தெரிவித்துள்ளன
tag_01181_01383276436	அலைக்கற்றை ஊழல் பணத்திற்கும் எங்களுக்கும் சம்பந்தமில்லை தொலைக்காட்சி நிருவாகம் மறுப்பு
